Relative File Path	Character / Subject Name	Real Actor / Actress	Franchise / Show
good/MiniMax_H3_01465_.mp4	Mads Mikkelsen	Mads Mikkelsen	Hannibal
good/MiniMax_H3_01466_.mp4	Dr. Hannibal Lecter	Mads Mikkelsen	Hannibal
good/MiniMax_H3_01467_.mp4	Matthew McConaughey	Matthew McConaughey	Real Person / Actor
good/MiniMax_H3_01468_.mp4	Rust Cohle	Matthew McConaughey	True Detective
good/MiniMax_H3_01469_.mp4	Neil deGrasse Tyson	Neil deGrasse Tyson	Cosmos
good/MiniMax_H3_01470_.mp4	Host Neil deGrasse Tyson	Neil deGrasse Tyson	Cosmos
good/MiniMax_H3_01471_.mp4	Michael Fassbender	Michael Fassbender	X-Men
good/MiniMax_H3_01473_.mp4	Woody Harrelson	Woody Harrelson	Zombieland
good/MiniMax_H3_01474_.mp4	Tallahassee	Woody Harrelson	Zombieland
good/MiniMax_H3_01475_.mp4	Norman Reedus	Norman Reedus	Real Person / Actor
good/MiniMax_H3_01476_.mp4	Daryl Dixon	Norman Reedus	The Walking Dead
good/MiniMax_H3_01478_.mp4	Alluri Sitarama Raju	Ram Charan	RRR
good/MiniMax_H3_01481_.mp4	Robert Pattinson	Robert Pattinson	Real Person / Actor
good/MiniMax_H3_01482_.mp4	Edward Cullen	Robert Pattinson	Twilight
good/MiniMax_H3_01483_.mp4	Ryan Gosling	Ryan Gosling	Drive
good/MiniMax_H3_01484_.mp4	Driver	Ryan Gosling	Drive
good/MiniMax_H3_01485_.mp4	Ryan Reynolds	Ryan Reynolds	Real Person / Actor
good/MiniMax_H3_01486_.mp4	Deadpool	Ryan Reynolds	Deadpool
good/MiniMax_H3_01489_.mp4	Snoop Dogg	Snoop Dogg	Real Person / Actor
good/MiniMax_H3_01490_.mp4	Snoop Dogg (played by Snoop Dogg) live in concert performance	Snoop Dogg (played by Snoop Dogg) live in concert performance	Real Person / Actor
good/MiniMax_H3_01497_.mp4	Willem Dafoe	Willem Dafoe	Spider-Man
good/MiniMax_H3_01498_.mp4	Norman Osborn	Willem Dafoe	Spider-Man
good/MiniMax_H3_01499_.mp4	Michael Jackson	Michael Jackson	Real Person / Actor
good/MiniMax_H3_01503_.mp4	Kobe Bryant	Kobe Bryant	Real Person / Actor
good/MiniMax_H3_01504_.mp4	Kobe Bryant	Kobe Bryant	Lakers court
good/MiniMax_H3_01508_.mp4	Komaram Bheem	N. T. Rama Rao Jr.	RRR
good/MiniMax_H3_01509_.mp4	Dave Chappelle	Dave Chappelle	Real Person / Actor
good/MiniMax_H3_01510_.mp4	Dave Chappelle	Dave Chappelle	Chappelle's Show
good/MiniMax_H3_01511_.mp4	David Letterman	David Letterman	Real Person / Actor
good/MiniMax_H3_01512_.mp4	David Letterman	David Letterman	Late Show
good/MiniMax_H3_01513_.mp4	Conan O'Brien	Conan O'Brien	Real Person / Actor
good/MiniMax_H3_01514_.mp4	Conan O'Brien	Conan O'Brien	Late Night
good/MiniMax_H3_01532_.mp4	Willow Rosenberg	Alyson Hannigan	Buffy the Vampire Slayer
good/MiniMax_H3_01547_.mp4	Barack Obama	Barack Obama	the Oval Office
good/MiniMax_H3_01548_.mp4	President Barack Obama	Barack Obama	the Oval Office
good/MiniMax_H3_01549_.mp4	Donald Trump	Donald Trump	Real Person / Actor
good/MiniMax_H3_01550_.mp4	Donald Trump	Donald Trump	The Apprentice
good/MiniMax_H3_01568_.mp4	Agent Olivia Dunham	Anna Torv	Fringe
good/MiniMax_H3_01571_.mp4	Anne Hathaway	Anne Hathaway	The Devil Wears Prada
good/MiniMax_H3_01572_.mp4	Andy Sachs	Anne Hathaway	The Devil Wears Prada
